id,Treatment,Flowers_1:10,Flowers_11:20,Flowers_21:30,Flowers_31:40,best_patch
YE90,A,Y,B,W,G,Flowers_11:20
GR8,B,Y,W,G,B,
GR9,B,Y,W,G,B,
GR23,B,Y,W,G,B,
GR29,B,Y,G,W,B,
GR35,B,Y,B,G,W,
GR56,B,Y,B,W,G,
GR64,B,Y,B,G,W,
R5,A,Y,G,W,B,Flowers_31:40
R28,A,Y,B,G,W,Flowers_31:40
R29,A,Y,W,G,B,Flowers_31:40
RE69,B,Y,W,G,B,
RE91,B,Y,W,G,B,
WH7,B,Y,W,G,B,
WH19,B,Y,G,W,B,
WH24,B,Y,W,G,B,
WH34,B,Y,B,G,W,
WH44,B,Y,G,W,B,
WH47,B,Y,G,W,B,
WH53,B,Y,W,G,B,
WH54,B,Y,W,G,B,
WH58,B,Y,W,G,B,
WH83,B,Y,B,G,W,
WH89,B,Y,B,G,W,
YE3,A,Y,W,B,G,Flowers_31:40
YE12,A,Y,G,W,B,Flowers_21:30
YE15,A,Y,G,W,B,Flowers_11:20
YE17,A,Y,B,W,G,Flowers_21:30
YE37,A,Y,B,G,W,Flowers_11:20
YE39,A,Y,W,B,G,Flowers_21:30
YE43,A,Y,G,W,B,Flowers_11:20
YE44,A,Y,G,W,B,Flowers_11:20
YE50,A,Y,W,G,B,Flowers_31:40
YE53,A,Y,W,G,B,Flowers_31:40
YE57,A,Y,B,W,G,Flowers_31:40
YE65,A,Y,G,W,B,Flowers_21:30
YE72,A,Y,W,G,B,Flowers_11:20
YE74,A,Y,B,W,G,Flowers_11:20
YE80,A,Y,G,W,B,Flowers_21:30
YE83,A,Y,G,W,B,Flowers_11:20